Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Wohnungen nach Baujahr (Mikrozensus-Klassen), Fläche der Wohnung (10 m²-Intervalle) und Zahl der Wohnungen im Gebäude für Flensburg, Stadt (Kreisfreie Stadt), Kiel, Landeshauptstadt (Kreisfreie Stadt) und weitere Orte ;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;
;;;010010000000 Flensburg, Stadt (Kreisfreie Stadt);010020000000 Kiel, Landeshauptstadt (Kreisfreie Stadt);010030000000 Lübeck, Hansestadt (Kreisfreie Stadt);010040000000 Neumünster, Stadt (Kreisfreie Stadt);01051 Dithmarschen (Kreis);01053 Herzogtum Lauenburg (Kreis);01054 Nordfriesland (Kreis);01055 Ostholstein (Kreis);01056 Pinneberg (Kreis);01057 Plön (Kreis);01058 Rendsburg-Eckernförde (Kreis);01059 Schleswig-Flensburg (Kreis);01060 Segeberg (Kreis);01061 Steinburg (Kreis);01062 Stormarn (Kreis)
1919 - 1948;30 - 39;3 - 6 Wohnungen;(164);639;285;64;(108);65;167;104;186;37;(102);74;(92);80;55
1919 - 1948;30 - 39;7 - 12 Wohnungen;93;494;293;(140);22;9;25;38;52;16;37;25;23;9;7
1919 - 1948;30 - 39;13 und mehr Wohnungen;20;129;(22);12;6;6;6;7;6;-;-;18;4;28;3
1919 - 1948;40 - 49;1 Wohnung;6;147;(67);6;44;(44);(55);46;48;31;47;24;42;15;(9)
1919 - 1948;40 - 49;2 Wohnungen;36;104;148;47;86;81;(113);(79);(125);53;(153);(94);56;(48);(78)
1919 - 1948;40 - 49;3 - 6 Wohnungen;406;2631;968;261;137;201;203;(207);311;121;410;180;(137);(180);(149)
1919 - 1948;40 - 49;7 - 12 Wohnungen;252;2329;1095;484;6;68;16;(57);(90);18;76;(21);(41);30;12
1919 - 1948;40 - 49;13 und mehr Wohnungen;21;329;52;17;3;30;32;28;9;6;-;3;7;18;6
1919 - 1948;50 - 59;1 Wohnung;(41);695;(171);(73);(112);(98);(96);117;(113);65;191;64;59;(71);57
1919 - 1948;50 - 59;2 Wohnungen;14;105;(244);(59);107;(114);(154);119;191;80;255;(155);(106);92;(119)
1919 - 1948;50 - 59;3 - 6 Wohnungen;(307);2522;1279;(372);231;279;235;251;434;127;442;234;(220);342;170
1919 - 1948;50 - 59;7 - 12 Wohnungen;321;1802;835;520;28;45;38;52;95;(13);56;63;(22);(55);15
1919 - 1948;50 - 59;13 und mehr Wohnungen;40;299;63;(51);-;10;59;93;4;3;13;7;18;-;9
1919 - 1948;60 - 69;1 Wohnung;44;240;280;(131);205;(191);(291);298;(208);144;316;126;(150);180;(159)
1919 - 1948;60 - 69;2 Wohnungen;(41);(157);(246);93;124;(180);163;212;(319);118;329;208;(124);(119);(114)
1919 - 1948;60 - 69;3 - 6 Wohnungen;217;1017;810;164;144;223;289;(277);376;(169);439;317;(219);259;(124)
1919 - 1948;60 - 69;7 - 12 Wohnungen;329;1098;509;256;6;62;18;(70);(91);30;71;47;24;40;(19)
1919 - 1948;60 - 69;13 und mehr Wohnungen;25;224;(65);24;3;27;(3);40;12;3;-;6;3;-;24
1919 - 1948;70 - 79;1 Wohnung;(114);546;406;256;301;244;(307);(388);331;296;529;267;179;217;253
1919 - 1948;70 - 79;2 Wohnungen;31;128;(240);(95);169;165;(202);220;(269);(125);(265);(178);181;(130);161
1919 - 1948;70 - 79;3 - 6 Wohnungen;(86);362;(345);(164);133;(174);195;200;(241);(113);350;(257);(145);(165);(165)
